2022-05-12 15:30:38,898 | ini_setup | INFO     | configure /opt/ericsson/flow/etc/flow.ini from /opt/ericsson/flow/etc/flow.ini
2022-05-12 15:30:38,898 | ini_setup | INFO     | [alarms]publisher_id=flow
2022-05-12 15:30:38,898 | ini_setup | INFO     | [alarms]resync_interval=30
2022-05-12 15:30:38,898 | ini_setup | INFO     | [alarms]resync_routing_key=alarms.sync
2022-05-12 15:30:38,899 | ini_setup | INFO     | [api]service_url=http://localhost:8002/api/services
2022-05-12 15:30:38,899 | ini_setup | INFO     | [api]timeout=10
2022-05-12 15:30:38,899 | ini_setup | INFO     | [messaging]alarm_exchange=mfvp.alarms
2022-05-12 15:30:38,899 | ini_setup | INFO     | [messaging]alarm_routing_key=alarms.change.{severity}.{state}
2022-05-12 15:30:38,899 | ini_setup | INFO     | [messaging]connection_retry=1
2022-05-12 15:30:38,899 | ini_setup | INFO     | [messaging]connection_timeout=1
2022-05-12 15:30:38,899 | ini_setup | INFO     | [messaging]queue=flow.api.status
2022-05-12 15:30:38,899 | ini_setup | INFO     | [messaging]server_url=amqp://guest:guest@localhost:5672/?heartbeat=30
2022-05-12 15:30:38,899 | ini_setup | INFO     | [messaging]service_exchange=mfvp.services
2022-05-12 15:30:38,899 | ini_setup | INFO     | [messaging]status_routing_key=notif.services.live_encoding.*.status_changed
2022-05-12 15:30:38,899 | ini_setup | INFO     | [monitor]alarm_interval=5
2022-05-12 15:30:38,899 | ini_setup | INFO     | [monitor]crosspoint_interval=15
2022-05-12 15:30:38,899 | ini_setup | INFO     | [monitor]evaluate_interval=1
2022-05-12 15:30:38,899 | ini_setup | INFO     | [monitor]missed_crosspoint_interval=15
2022-05-12 15:30:38,899 | ini_setup | INFO     | [router]connect_retries=3
2022-05-12 15:30:38,899 | ini_setup | INFO     | [router]connect_retry_interval=1
2022-05-12 15:30:38,899 | ini_setup | INFO     | [router]connect_timeout=3
2022-05-12 15:30:38,899 | ini_setup | INFO     | [router]crosspoint_retries=10
2022-05-12 15:30:38,899 | ini_setup | INFO     | [router]crosspoint_retry_interval=1
2022-05-12 15:30:38,899 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-12 15:30:38,899 | ini_setup | INFO     | [server]port=8013
2022-05-12 15:30:38,899 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 15:30:38,899 | ini_setup | INFO     | return code 0
